pfam_id,model,I,alpha,rates,alisim_model
PF00062,LG+I+G4,0.0717,2.2877,,LG+I{0.0717}+G4{2.2877}
PF00063,LG+I+G4,0.1005,1.3347,,LG+I{0.1005}+G4{1.3347}
PF00066,LG+I+R4,0.0726,,"(0.0929,0.0344) (0.1189,0.2677) (0.2313,0.7619) (0.4843,1.6287)","LG+I{0.0726}+R4{0.0929,0.0344,0.1189,0.2677,0.2313,0.7619,0.4843,1.6287}"
PF00067,LG+F+I+R4,0.0108,,"(0.0332,0.1282) (0.1978,0.4093) (0.3657,0.8472) (0.3925,1.5415)","LG+F+I{0.0108}+R4{0.0332,0.1282,0.1978,0.4093,0.3657,0.8472,0.3925,1.5415}"
PF00068,JTT+R4,,,"(0.1472,0.0322) (0.1679,0.3699) (0.3567,0.9940) (0.3282,1.7627)","JTT+R4{0.1472,0.0322,0.1679,0.3699,0.3567,0.9940,0.3282,1.7627}"
PF00069,LG+F+I+R4,0.0221,,"(0.0778,0.1239) (0.3040,0.4581) (0.3899,1.1330) (0.2062,1.9856)","LG+F+I{0.0221}+R4{0.0778,0.1239,0.3040,0.4581,0.3899,1.1330,0.2062,1.9856}"
PF00070,LG+I+R4,0.0108,,"(0.1027,0.2116) (0.2234,0.5352) (0.4176,1.0830) (0.2454,1.6557)","LG+I{0.0108}+R4{0.1027,0.2116,0.2234,0.5352,0.4176,1.0830,0.2454,1.6557}"
PF00071,LG+I+G4,0.0499,1.2543,,LG+I{0.0499}+G4{1.2543}
PF00074,JTT+I+R4,0.0318,,"(0.1018,0.1024) (0.1922,0.4250) (0.2280,0.8856) (0.4462,1.5823)","JTT+I{0.0318}+R4{0.1018,0.1024,0.1922,0.4250,0.2280,0.8856,0.4462,1.5823}"
PF00075,LG+I+G4,0.0337,1.5734,,LG+I{0.0337}+G4{1.5734}
PF00076,LG+I+G4,0.0000,2.2912,,LG+I{0.0000}+G4{2.2912}
PF00077,LG+I+G4,0.0228,1.6351,,LG+I{0.0228}+G4{1.6351}
PF00078,LG+I+R4,0.0104,,"(0.0852,0.1362) (0.2205,0.4473) (0.3551,0.9144) (0.3288,1.7186)","LG+I{0.0104}+R4{0.0852,0.1362,0.2205,0.4473,0.3551,0.9144,0.3288,1.7186}"
PF00079,LG+I+R4,0.0020,,"(0.0792,0.1194) (0.2124,0.3985) (0.2585,0.8746) (0.4479,1.5177)","LG+I{0.0020}+R4{0.0792,0.1194,0.2124,0.3985,0.2585,0.8746,0.4479,1.5177}"
PF00080,LG+I+R4,0.0000,,"(0.0634,0.0644) (0.1476,0.2676) (0.2938,0.6450) (0.4952,1.5487)","LG+I{0.0000}+R4{0.0634,0.0644,0.1476,0.2676,0.2938,0.6450,0.4952,1.5487}"
PF00081,LG+I+G4,0.0648,1.5996,,LG+I{0.0648}+G4{1.5996}
PF00082,LG+F+I+R4,0.0026,,"(0.0500,0.0983) (0.1853,0.3519) (0.3342,0.7451) (0.4278,1.5914)","LG+F+I{0.0026}+R4{0.0500,0.0983,0.1853,0.3519,0.3342,0.7451,0.4278,1.5914}"
PF00084,LG+I+G4,0.0506,2.7626,,LG+I{0.0506}+G4{2.7626}
PF00085,LG+I+G4,0.0233,1.7895,,LG+I{0.0233}+G4{1.7895}
PF00086,LG+I+R4,0.0153,,"(0.0979,0.0571) (0.2108,0.4884) (0.3743,1.0523) (0.3017,1.6491)","LG+I{0.0153}+R4{0.0979,0.0571,0.2108,0.4884,0.3743,1.0523,0.3017,1.6491}"
PF00087,JTT+R4,,,"(0.1078,0.0047) (0.0920,0.2905) (0.3886,0.9056) (0.4116,1.5084)","JTT+R4{0.1078,0.0047,0.0920,0.2905,0.3886,0.9056,0.4116,1.5084}"
PF00088,LG+I+R4,0.0535,,"(0.0727,0.0481) (0.2250,0.4260) (0.3195,1.0404) (0.3292,1.7260)","LG+I{0.0535}+R4{0.0727,0.0481,0.2250,0.4260,0.3195,1.0404,0.3292,1.7260}"
PF00089,LG+I+R4,0.0001,,"(0.0654,0.0638) (0.1973,0.3523) (0.3286,0.7593) (0.4086,1.6564)","LG+I{0.0001}+R4{0.0654,0.0638,0.1973,0.3523,0.3286,0.7593,0.4086,1.6564}"
PF00090,JTT+I+R2,0.0629,,"(0.2622,0.3198) (0.6748,1.3576)","JTT+I{0.0629}+R2{0.2622,0.3198,0.6748,1.3576}"
PF00091,LG+I+R4,0.0062,,"(0.0497,0.0958) (0.2173,0.4197) (0.3994,0.8604) (0.3274,1.7115)","LG+I{0.0062}+R4{0.0497,0.0958,0.2173,0.4197,0.3994,0.8604,0.3274,1.7115}"
PF00092,LG+I+R4,0.0000,,"(0.0325,0.1290) (0.2391,0.4350) (0.3477,0.8919) (0.3808,1.5276)","LG+I{0.0000}+R4{0.0325,0.1290,0.2391,0.4350,0.3477,0.8919,0.3808,1.5276}"
PF00093,LG+I+G4,0.1368,5.5444,,LG+I{0.1368}+G4{5.5444}
PF00094,LG+I+R4,0.0000,,"(0.0400,0.0330) (0.1782,0.3350) (0.3613,0.7765) (0.4204,1.5661)","LG+I{0.0000}+R4{0.0400,0.0330,0.1782,0.3350,0.3613,0.7765,0.4204,1.5661}"
PF00095,JTT+R4,,,"(0.1121,0.0123) (0.1135,0.1869) (0.2337,0.8150) (0.5407,1.4554)","JTT+R4{0.1121,0.0123,0.1135,0.1869,0.2337,0.8150,0.5407,1.4554}"
PF00096,LG+I+R3,0.0402,,"(0.1196,0.0005) (0.3117,0.4906) (0.5285,1.6027)","LG+I{0.0402}+R3{0.1196,0.0005,0.3117,0.4906,0.5285,1.6027}"
PF00097,LG+I+R2,0.1462,,"(0.1133,0.2350) (0.7405,1.3145)","LG+I{0.1462}+R2{0.1133,0.2350,0.7405,1.3145}"
PF00098,LG+I+G4,0.2222,1.1232,,LG+I{0.2222}+G4{1.1232}
PF00100,LG+I+R4,0.0050,,"(0.0485,0.1044) (0.2385,0.4504) (0.4138,0.9627) (0.2943,1.6623)","LG+I{0.0050}+R4{0.0485,0.1044,0.2385,0.4504,0.4138,0.9627,0.2943,1.6623}"
PF00102,LG+F+I+R4,0.0054,,"(0.1125,0.1131) (0.2234,0.3942) (0.2902,0.8900) (0.3686,1.7390)","LG+F+I{0.0054}+R4{0.1125,0.1131,0.2234,0.3942,0.2902,0.8900,0.3686,1.7390}"
PF00103,JTT+G4,,2.9387,,JTT+G4{2.9387}
PF00104,JTT+F+R4,,,"(0.0215,0.1430) (0.2595,0.4864) (0.2993,0.8611) (0.4197,1.4605)","JTT+F+R4{0.0215,0.1430,0.2595,0.4864,0.2993,0.8611,0.4197,1.4605}"
PF00105,LG+I+G4,0.2291,1.3467,,LG+I{0.2291}+G4{1.3467}
PF00106,LG+I+R4,0.0087,,"(0.1202,0.1493) (0.2603,0.4964) (0.3715,1.0041) (0.2394,2.0045)","LG+I{0.0087}+R4{0.1202,0.1493,0.2603,0.4964,0.3715,1.0041,0.2394,2.0045}"
PF00107,LG+I+R4,0.0000,,"(0.0936,0.2029) (0.1929,0.4609) (0.3346,0.8825) (0.3789,1.5751)","LG+I{0.0000}+R4{0.0936,0.2029,0.1929,0.4609,0.3346,0.8825,0.3789,1.5751}"
PF00108,LG+I+G4,0.0123,1.5123,,LG+I{0.0123}+G4{1.5123}
PF00109,LG+I+G4,0.0000,1.6651,,LG+I{0.0000}+G4{1.6651}
PF00111,LG+I+R4,0.0202,,"(0.0754,0.3042) (0.2128,0.5427) (0.3786,0.9640) (0.3129,1.5868)","LG+I{0.0202}+R4{0.0754,0.3042,0.2128,0.5427,0.3786,0.9640,0.3129,1.5868}"
PF00112,LG+I+R4,0.0090,,"(0.1087,0.0831) (0.2435,0.3754) (0.2349,0.8142) (0.4038,1.7540)","LG+I{0.0090}+R4{0.1087,0.0831,0.2435,0.3754,0.2349,0.8142,0.4038,1.7540}"
PF00113,LG+I+G4,0.1450,1.3554,,LG+I{0.1450}+G4{1.3554}
PF00116,LG+I+G4,0.0574,1.1249,,LG+I{0.0574}+G4{1.1249}
PF00117,LG+I+R4,0.0071,,"(0.0706,0.0858) (0.2016,0.3935) (0.3929,0.8798) (0.3278,1.7358)","LG+I{0.0071}+R4{0.0706,0.0858,0.2016,0.3935,0.3929,0.8798,0.3278,1.7358}"
PF00119,LG+F+I+R4,0.0026,,"(0.0944,0.1442) (0.2427,0.4227) (0.3186,0.8648) (0.3417,1.7804)","LG+F+I{0.0026}+R4{0.0944,0.1442,0.2427,0.4227,0.3186,0.8648,0.3417,1.7804}"
PF00120,LG+I+R4,0.0137,,"(0.0966,0.0804) (0.2853,0.4410) (0.3667,1.0352) (0.2377,2.0479)","LG+I{0.0137}+R4{0.0966,0.0804,0.2853,0.4410,0.3667,1.0352,0.2377,2.0479}"
PF00121,LG+I+R4,0.0295,,"(0.1186,0.0783) (0.1768,0.3645) (0.3259,0.8402) (0.3492,1.8685)","LG+I{0.0295}+R4{0.1186,0.0783,0.1768,0.3645,0.3259,0.8402,0.3492,1.8685}"
PF00125,LG+I+G4,0.0000,2.1496,,LG+I{0.0000}+G4{2.1496}
PF00128,LG+I+G4,0.0412,2.0307,,LG+I{0.0412}+G4{2.0307}
PF00129,JTT+R3,,,"(0.5946,0.3564) (0.3507,1.2629) (0.0547,6.3124)","JTT+R3{0.5946,0.3564,0.3507,1.2629,0.0547,6.3124}"
PF00130,LG+I+R3,0.0000,,"(0.1031,0.0068) (0.2080,0.4404) (0.6890,1.3174)","LG+I{0.0000}+R3{0.1031,0.0068,0.2080,0.4404,0.6890,1.3174}"
PF00131,JTT+F+G4,,4.2539,,JTT+F+G4{4.2539}
PF00133,LG+I+G4,0.0329,2.0208,,LG+I{0.0329}+G4{2.0208}
PF00134,LG+I+G4,0.0000,1.5415,,LG+I{0.0000}+G4{1.5415}
PF00135,LG+I+R4,0.0076,,"(0.0798,0.1088) (0.1960,0.3395) (0.3083,0.8347) (0.4083,1.6348)","LG+I{0.0076}+R4{0.0798,0.1088,0.1960,0.3395,0.3083,0.8347,0.4083,1.6348}"
PF00137,LG+F+I+G4,0.0000,3.1386,,LG+F+I{0.0000}+G4{3.1386}
PF00143,JTT+R4,,,"(0.0762,0.1271) (0.2463,0.5326) (0.3092,0.9229) (0.3684,1.5577)","JTT+R4{0.0762,0.1271,0.2463,0.5326,0.3092,0.9229,0.3684,1.5577}"
PF00144,LG+F+I+R4,0.0000,,"(0.0514,0.1569) (0.2123,0.4421) (0.3071,0.8580) (0.4293,1.4784)","LG+F+I{0.0000}+R4{0.0514,0.1569,0.2123,0.4421,0.3071,0.8580,0.4293,1.4784}"
PF00145,LG+I+R4,0.0124,,"(0.0422,0.0820) (0.1886,0.2926) (0.3566,0.7586) (0.4002,1.6761)","LG+I{0.0124}+R4{0.0422,0.0820,0.1886,0.2926,0.3566,0.7586,0.4002,1.6761}"
PF00147,JTT+G4,,1.0828,,JTT+G4{1.0828}
PF00149,LG+I+R4,0.0000,,"(0.0251,0.0431) (0.1018,0.3626) (0.3383,0.7824) (0.5348,1.3040)","LG+I{0.0000}+R4{0.0251,0.0431,0.1018,0.3626,0.3383,0.7824,0.5348,1.3040}"
PF00151,LG+I+G4,0.0199,1.0735,,LG+I{0.0199}+G4{1.0735}
PF00152,LG+I+R4,0.0094,,"(0.1115,0.0791) (0.2029,0.2971) (0.2823,0.7505) (0.3940,1.8252)","LG+I{0.0094}+R4{0.1115,0.0791,0.2029,0.2971,0.2823,0.7505,0.3940,1.8252}"
PF00155,LG+I+R4,0.0000,,"(0.0375,0.1046) (0.2550,0.4536) (0.4222,0.8718) (0.2854,1.7955)","LG+I{0.0000}+R4{0.0375,0.1046,0.2550,0.4536,0.4222,0.8718,0.2854,1.7955}"
PF00156,LG+I+G4,0.0000,1.9745,,LG+I{0.0000}+G4{1.9745}
PF00157,LG+I+G4,0.0000,1.0196,,LG+I{0.0000}+G4{1.0196}
PF00160,LG+I+R4,0.0000,,"(0.0953,0.1349) (0.1758,0.3617) (0.3689,0.8293) (0.3599,1.7158)","LG+I{0.0000}+R4{0.0953,0.1349,0.1758,0.3617,0.3689,0.8293,0.3599,1.7158}"
PF00162,LG+I+R4,0.0093,,"(0.0953,0.0675) (0.1742,0.3098) (0.2628,0.6989) (0.4584,1.6489)","LG+I{0.0093}+R4{0.0953,0.0675,0.1742,0.3098,0.2628,0.6989,0.4584,1.6489}"
PF00164,LG+I+G4,0.0551,2.6007,,LG+I{0.0551}+G4{2.6007}
PF00166,LG+I+G4,0.0000,2.1665,,LG+I{0.0000}+G4{2.1665}
PF00167,LG+I+G4,0.0000,1.9711,,LG+I{0.0000}+G4{1.9711}
PF00168,LG+F+I+R4,0.0000,,"(0.0845,0.2391) (0.1653,0.4907) (0.3731,0.9079) (0.3771,1.4849)","LG+F+I{0.0000}+R4{0.0845,0.2391,0.1653,0.4907,0.3731,0.9079,0.3771,1.4849}"
PF00169,LG+I+R4,0.0000,,"(0.0420,0.2244) (0.0945,0.4166) (0.2785,0.7481) (0.5850,1.2699)","LG+I{0.0000}+R4{0.0420,0.2244,0.0945,0.4166,0.2785,0.7481,0.5850,1.2699}"
PF00173,LG+I+G4,0.0000,1.7356,,LG+I{0.0000}+G4{1.7356}
PF00174,LG+I+R4,0.0000,,"(0.1058,0.1388) (0.2838,0.4345) (0.3294,0.9886) (0.2809,1.9090)","LG+I{0.0000}+R4{0.1058,0.1388,0.2838,0.4345,0.3294,0.9886,0.2809,1.9090}"
PF00175,LG+I+G4,0.0135,1.8259,,LG+I{0.0135}+G4{1.8259}
PF00176,LG+I+G4,0.0032,1.2438,,LG+I{0.0032}+G4{1.2438}
PF00177,LG+I+G4,0.0040,1.3866,,LG+I{0.0040}+G4{1.3866}
PF00178,LG+I+G4,0.0000,1.1241,,LG+I{0.0000}+G4{1.1241}
PF00179,LG+I+R4,0.0047,,"(0.2746,0.2650) (0.2141,0.6590) (0.3935,1.3489) (0.1131,2.2580)","LG+I{0.0047}+R4{0.2746,0.2650,0.2141,0.6590,0.3935,1.3489,0.1131,2.2580}"
PF00180,LG+I+G4,0.0251,1.1910,,LG+I{0.0251}+G4{1.1910}
PF00181,LG+I+G4,0.0098,1.1696,,LG+I{0.0098}+G4{1.1696}
PF00185,LG+I+G4,0.0000,1.3614,,LG+I{0.0000}+G4{1.3614}
PF00186,LG+I+R4,0.0000,,"(0.1037,0.0397) (0.2296,0.3733) (0.3377,0.8724) (0.3291,1.8707)","LG+I{0.0000}+R4{0.1037,0.0397,0.2296,0.3733,0.3377,0.8724,0.3291,1.8707}"
PF00188,LG+F+I+R4,0.0000,,"(0.0215,0.0551) (0.1483,0.3111) (0.3110,0.7357) (0.5192,1.3942)","LG+F+I{0.0000}+R4{0.0215,0.0551,0.1483,0.3111,0.3110,0.7357,0.5192,1.3942}"
PF00189,LG+I+G4,0.0366,1.4724,,LG+I{0.0366}+G4{1.4724}
PF00190,LG+I+G4,0.0056,4.0874,,LG+I{0.0056}+G4{4.0874}
PF00191,LG+I+G4,0.0000,1.9241,,LG+I{0.0000}+G4{1.9241}
PF00193,LG+I+G4,0.0270,1.0868,,LG+I{0.0270}+G4{1.0868}
PF00194,LG+I+R4,0.0070,,"(0.0873,0.0706) (0.1990,0.3757) (0.2718,0.8795) (0.4350,1.5632)","LG+I{0.0070}+R4{0.0873,0.0706,0.1990,0.3757,0.2718,0.8795,0.4350,1.5632}"
PF00198,LG+I+R4,0.0027,,"(0.0530,0.0811) (0.2686,0.3743) (0.3891,0.8829) (0.2867,1.9242)","LG+I{0.0027}+R4{0.0530,0.0811,0.2686,0.3743,0.3891,0.8829,0.2867,1.9242}"
PF00199,LG+I+R4,0.0185,,"(0.1989,0.1364) (0.2898,0.5481) (0.3048,1.1968) (0.1881,2.3887)","LG+I{0.0185}+R4{0.1989,0.1364,0.2898,0.5481,0.3048,1.1968,0.1881,2.3887}"
PF00200,LG+I+R4,0.0158,,"(0.1481,0.0290) (0.1365,0.3912) (0.3612,0.9623) (0.3385,1.7571)","LG+I{0.0158}+R4{0.1481,0.0290,0.1365,0.3912,0.3612,0.9623,0.3385,1.7571}"
PF00202,LG+I+G4,0.0253,2.2104,,LG+I{0.0253}+G4{2.2104}
PF00203,LG+I+G4,0.0000,1.1515,,LG+I{0.0000}+G4{1.1515}
PF00204,LG+I+R4,0.0137,,"(0.0793,0.1537) (0.3203,0.5394) (0.3866,1.1009) (0.2001,1.9467)","LG+I{0.0137}+R4{0.0793,0.1537,0.3203,0.5394,0.3866,1.1009,0.2001,1.9467}"
PF00205,LG+I+R4,0.0000,,"(0.0910,0.2696) (0.3527,0.5958) (0.3192,1.0152) (0.2370,1.8616)","LG+I{0.0000}+R4{0.0910,0.2696,0.3527,0.5958,0.3192,1.0152,0.2370,1.8616}"
PF00206,LG+I+G4,0.0269,1.8161,,LG+I{0.0269}+G4{1.8161}
PF00208,LG+I+R4,0.0172,,"(0.1111,0.0875) (0.1980,0.3289) (0.3108,0.7800) (0.3629,1.8811)","LG+I{0.0172}+R4{0.1111,0.0875,0.1980,0.3289,0.3108,0.7800,0.3629,1.8811}"
PF00210,LG+I+R4,0.0000,,"(0.1179,0.3158) (0.3376,0.6082) (0.3007,1.0510) (0.2437,1.8109)","LG+I{0.0000}+R4{0.1179,0.3158,0.3376,0.6082,0.3007,1.0510,0.2437,1.8109}"
PF00211,LG+I+G4,0.0000,1.1233,,LG+I{0.0000}+G4{1.1233}
PF00215,LG+I+R4,0.0087,,"(0.0962,0.1602) (0.2654,0.4581) (0.2947,0.9182) (0.3351,1.7679)","LG+I{0.0087}+R4{0.0962,0.1602,0.2654,0.4581,0.2947,0.9182,0.3351,1.7679}"
PF00217,LG+I+G4,0.0095,1.0347,,LG+I{0.0095}+G4{1.0347}
PF00219,JTT+I+R4,0.0494,,"(0.1064,0.0912) (0.1996,0.5021) (0.4029,1.1498) (0.2418,1.7658)","JTT+I{0.0494}+R4{0.1064,0.0912,0.1996,0.5021,0.4029,1.1498,0.2418,1.7658}"
PF00224,LG+I+G4,0.0849,0.9703,,LG+I{0.0849}+G4{0.9703}
PF00225,LG+F+I+R4,0.0133,,"(0.0940,0.0440) (0.1645,0.2323) (0.2413,0.5936) (0.4869,1.6728)","LG+F+I{0.0133}+R4{0.0940,0.0440,0.1645,0.2323,0.2413,0.5936,0.4869,1.6728}"
PF00226,LG+I+R4,0.0088,,"(0.1094,0.0672) (0.2549,0.4400) (0.2907,0.8893) (0.3363,1.8496)","LG+I{0.0088}+R4{0.1094,0.0672,0.2549,0.4400,0.2907,0.8893,0.3363,1.8496}"
PF00227,LG+I+R4,0.0000,,"(0.0363,0.1433) (0.3276,0.5747) (0.3546,1.0141) (0.2816,1.5872)","LG+I{0.0000}+R4{0.0363,0.1433,0.3276,0.5747,0.3546,1.0141,0.2816,1.5872}"
PF00229,LG+I+G4,0.0153,1.9835,,LG+I{0.0153}+G4{1.9835}
PF00231,LG+I+R4,0.0017,,"(0.0575,0.0508) (0.1199,0.2324) (0.2681,0.5982) (0.5528,1.4632)","LG+I{0.0017}+R4{0.0575,0.0508,0.1199,0.2324,0.2681,0.5982,0.5528,1.4632}"
PF00232,LG+I+G4,0.0411,1.5432,,LG+I{0.0411}+G4{1.5432}
PF00233,LG+I+R4,0.0000,,"(0.0651,0.0586) (0.1719,0.3294) (0.3508,0.7733) (0.4121,1.6214)","LG+I{0.0000}+R4{0.0651,0.0586,0.1719,0.3294,0.3508,0.7733,0.4121,1.6214}"
PF00235,LG+F+I+R4,0.0000,,"(0.1189,0.2721) (0.2716,0.6288) (0.3345,0.9883) (0.2750,1.6955)","LG+F+I{0.0000}+R4{0.1189,0.2721,0.2716,0.6288,0.3345,0.9883,0.2750,1.6955}"
