pfam_id,model,I,alpha,rates,alisim_model
PF00044,LG+I+R4,0.0049,,"(0.1162,0.0734) (0.2553,0.3938) (0.3066,0.9160) (0.3170,1.9243)","LG+I{0.0049}+R4{0.1162,0.0734,0.2553,0.3938,0.3066,0.9160,0.3170,1.9243}"
PF00056,LG+I+G4,0.0247,1.7642,,LG+I{0.0247}+G4{1.7642}
PF00067,LG+F+I+R4,0.0108,,"(0.0332,0.1282) (0.1978,0.4093) (0.3657,0.8472) (0.3925,1.5415)","LG+F+I{0.0108}+R4{0.0332,0.1282,0.1978,0.4093,0.3657,0.8472,0.3925,1.5415}"
PF00072,LG+I+G4,0.0154,2.0987,,LG+I{0.0154}+G4{2.0987}
PF00079,LG+I+R4,0.0020,,"(0.0792,0.1194) (0.2124,0.3985) (0.2585,0.8746) (0.4479,1.5177)","LG+I{0.0020}+R4{0.0792,0.1194,0.2124,0.3985,0.2585,0.8746,0.4479,1.5177}"
PF00081,LG+I+G4,0.0648,1.5996,,LG+I{0.0648}+G4{1.5996}
PF00085,LG+I+G4,0.0233,1.7895,,LG+I{0.0233}+G4{1.7895}
PF00091,LG+I+R4,0.0062,,"(0.0497,0.0958) (0.2173,0.4197) (0.3994,0.8604) (0.3274,1.7115)","LG+I{0.0062}+R4{0.0497,0.0958,0.2173,0.4197,0.3994,0.8604,0.3274,1.7115}"
PF00092,LG+I+R4,0.0000,,"(0.0325,0.1290) (0.2391,0.4350) (0.3477,0.8919) (0.3808,1.5276)","LG+I{0.0000}+R4{0.0325,0.1290,0.2391,0.4350,0.3477,0.8919,0.3808,1.5276}"
PF00106,LG+I+R4,0.0087,,"(0.1202,0.1493) (0.2603,0.4964) (0.3715,1.0041) (0.2394,2.0045)","LG+I{0.0087}+R4{0.1202,0.1493,0.2603,0.4964,0.3715,1.0041,0.2394,2.0045}"
PF00107,LG+I+R4,0.0000,,"(0.0936,0.2029) (0.1929,0.4609) (0.3346,0.8825) (0.3789,1.5751)","LG+I{0.0000}+R4{0.0936,0.2029,0.1929,0.4609,0.3346,0.8825,0.3789,1.5751}"
PF00108,LG+I+G4,0.0123,1.5123,,LG+I{0.0123}+G4{1.5123}
PF00111,LG+I+R4,0.0202,,"(0.0754,0.3042) (0.2128,0.5427) (0.3786,0.9640) (0.3129,1.5868)","LG+I{0.0202}+R4{0.0754,0.3042,0.2128,0.5427,0.3786,0.9640,0.3129,1.5868}"
PF00113,LG+I+G4,0.1450,1.3554,,LG+I{0.1450}+G4{1.3554}
PF00116,LG+I+G4,0.0574,1.1249,,LG+I{0.0574}+G4{1.1249}
PF00117,LG+I+R4,0.0071,,"(0.0706,0.0858) (0.2016,0.3935) (0.3929,0.8798) (0.3278,1.7358)","LG+I{0.0071}+R4{0.0706,0.0858,0.2016,0.3935,0.3929,0.8798,0.3278,1.7358}"
PF00120,LG+I+R4,0.0137,,"(0.0966,0.0804) (0.2853,0.4410) (0.3667,1.0352) (0.2377,2.0479)","LG+I{0.0137}+R4{0.0966,0.0804,0.2853,0.4410,0.3667,1.0352,0.2377,2.0479}"
PF00121,LG+I+R4,0.0295,,"(0.1186,0.0783) (0.1768,0.3645) (0.3259,0.8402) (0.3492,1.8685)","LG+I{0.0295}+R4{0.1186,0.0783,0.1768,0.3645,0.3259,0.8402,0.3492,1.8685}"
PF00127,LG+F+I+G4,0.0767,4.3019,,LG+F+I{0.0767}+G4{4.3019}
PF00128,LG+I+G4,0.0412,2.0307,,LG+I{0.0412}+G4{2.0307}
PF00133,LG+I+G4,0.0329,2.0208,,LG+I{0.0329}+G4{2.0208}
PF00137,LG+F+I+G4,0.0000,3.1386,,LG+F+I{0.0000}+G4{3.1386}
PF00141,LG+I+R4,0.0020,,"(0.0826,0.1148) (0.2087,0.3812) (0.2554,0.8209) (0.4512,1.5543)","LG+I{0.0020}+R4{0.0826,0.1148,0.2087,0.3812,0.2554,0.8209,0.4512,1.5543}"
PF00145,LG+I+R4,0.0124,,"(0.0422,0.0820) (0.1886,0.2926) (0.3566,0.7586) (0.4002,1.6761)","LG+I{0.0124}+R4{0.0422,0.0820,0.1886,0.2926,0.3566,0.7586,0.4002,1.6761}"
PF00149,LG+I+R4,0.0000,,"(0.0251,0.0431) (0.1018,0.3626) (0.3383,0.7824) (0.5348,1.3040)","LG+I{0.0000}+R4{0.0251,0.0431,0.1018,0.3626,0.3383,0.7824,0.5348,1.3040}"
PF00152,LG+I+R4,0.0094,,"(0.1115,0.0791) (0.2029,0.2971) (0.2823,0.7505) (0.3940,1.8252)","LG+I{0.0094}+R4{0.1115,0.0791,0.2029,0.2971,0.2823,0.7505,0.3940,1.8252}"
PF00155,LG+I+R4,0.0000,,"(0.0375,0.1046) (0.2550,0.4536) (0.4222,0.8718) (0.2854,1.7955)","LG+I{0.0000}+R4{0.0375,0.1046,0.2550,0.4536,0.4222,0.8718,0.2854,1.7955}"
PF00156,LG+I+G4,0.0000,1.9745,,LG+I{0.0000}+G4{1.9745}
PF00158,LG+I+G4,0.0440,0.9035,,LG+I{0.0440}+G4{0.9035}
PF00160,LG+I+R4,0.0000,,"(0.0953,0.1349) (0.1758,0.3617) (0.3689,0.8293) (0.3599,1.7158)","LG+I{0.0000}+R4{0.0953,0.1349,0.1758,0.3617,0.3689,0.8293,0.3599,1.7158}"
PF00162,LG+I+R4,0.0093,,"(0.0953,0.0675) (0.1742,0.3098) (0.2628,0.6989) (0.4584,1.6489)","LG+I{0.0093}+R4{0.0953,0.0675,0.1742,0.3098,0.2628,0.6989,0.4584,1.6489}"
PF00164,LG+I+G4,0.0551,2.6007,,LG+I{0.0551}+G4{2.6007}
PF00174,LG+I+R4,0.0000,,"(0.1058,0.1388) (0.2838,0.4345) (0.3294,0.9886) (0.2809,1.9090)","LG+I{0.0000}+R4{0.1058,0.1388,0.2838,0.4345,0.3294,0.9886,0.2809,1.9090}"
PF00176,LG+I+G4,0.0032,1.2438,,LG+I{0.0032}+G4{1.2438}
PF00177,LG+I+G4,0.0040,1.3866,,LG+I{0.0040}+G4{1.3866}
PF00180,LG+I+G4,0.0251,1.1910,,LG+I{0.0251}+G4{1.1910}
PF00181,LG+I+G4,0.0098,1.1696,,LG+I{0.0098}+G4{1.1696}
PF00185,LG+I+G4,0.0000,1.3614,,LG+I{0.0000}+G4{1.3614}
PF00186,LG+I+R4,0.0000,,"(0.1037,0.0397) (0.2296,0.3733) (0.3377,0.8724) (0.3291,1.8707)","LG+I{0.0000}+R4{0.1037,0.0397,0.2296,0.3733,0.3377,0.8724,0.3291,1.8707}"
PF00189,LG+I+G4,0.0366,1.4724,,LG+I{0.0366}+G4{1.4724}
PF00198,LG+I+R4,0.0027,,"(0.0530,0.0811) (0.2686,0.3743) (0.3891,0.8829) (0.2867,1.9242)","LG+I{0.0027}+R4{0.0530,0.0811,0.2686,0.3743,0.3891,0.8829,0.2867,1.9242}"
PF00202,LG+I+G4,0.0253,2.2104,,LG+I{0.0253}+G4{2.2104}
PF00203,LG+I+G4,0.0000,1.1515,,LG+I{0.0000}+G4{1.1515}
PF00204,LG+I+R4,0.0137,,"(0.0793,0.1537) (0.3203,0.5394) (0.3866,1.1009) (0.2001,1.9467)","LG+I{0.0137}+R4{0.0793,0.1537,0.3203,0.5394,0.3866,1.1009,0.2001,1.9467}"
PF00205,LG+I+R4,0.0000,,"(0.0910,0.2696) (0.3527,0.5958) (0.3192,1.0152) (0.2370,1.8616)","LG+I{0.0000}+R4{0.0910,0.2696,0.3527,0.5958,0.3192,1.0152,0.2370,1.8616}"
PF00206,LG+I+G4,0.0269,1.8161,,LG+I{0.0269}+G4{1.8161}
PF00208,LG+I+R4,0.0172,,"(0.1111,0.0875) (0.1980,0.3289) (0.3108,0.7800) (0.3629,1.8811)","LG+I{0.0172}+R4{0.1111,0.0875,0.1980,0.3289,0.3108,0.7800,0.3629,1.8811}"
PF00210,LG+I+R4,0.0000,,"(0.1179,0.3158) (0.3376,0.6082) (0.3007,1.0510) (0.2437,1.8109)","LG+I{0.0000}+R4{0.1179,0.3158,0.3376,0.6082,0.3007,1.0510,0.2437,1.8109}"
PF00215,LG+I+R4,0.0087,,"(0.0962,0.1602) (0.2654,0.4581) (0.2947,0.9182) (0.3351,1.7679)","LG+I{0.0087}+R4{0.0962,0.1602,0.2654,0.4581,0.2947,0.9182,0.3351,1.7679}"
PF00218,LG+I+G4,0.0615,1.5251,,LG+I{0.0615}+G4{1.5251}
PF00224,LG+I+G4,0.0849,0.9703,,LG+I{0.0849}+G4{0.9703}
PF00226,LG+I+R4,0.0088,,"(0.1094,0.0672) (0.2549,0.4400) (0.2907,0.8893) (0.3363,1.8496)","LG+I{0.0088}+R4{0.1094,0.0672,0.2549,0.4400,0.2907,0.8893,0.3363,1.8496}"
PF00227,LG+I+R4,0.0000,,"(0.0363,0.1433) (0.3276,0.5747) (0.3546,1.0141) (0.2816,1.5872)","LG+I{0.0000}+R4{0.0363,0.1433,0.3276,0.5747,0.3546,1.0141,0.2816,1.5872}"
PF00237,LG+I+G4,0.0000,1.6585,,LG+I{0.0000}+G4{1.6585}
PF00238,LG+I+R4,0.0188,,"(0.1616,0.1591) (0.2660,0.4679) (0.2814,1.0493) (0.2721,2.0378)","LG+I{0.0188}+R4{0.1616,0.1591,0.2660,0.4679,0.2814,1.0493,0.2721,2.0378}"
PF00239,LG+I+R4,0.0056,,"(0.0408,0.0568) (0.1697,0.3507) (0.4112,0.8434) (0.3726,1.5870)","LG+I{0.0056}+R4{0.0408,0.0568,0.1697,0.3507,0.4112,0.8434,0.3726,1.5870}"
PF00248,LG+I+R4,0.0006,,"(0.0307,0.0839) (0.2483,0.3775) (0.4727,0.9205) (0.2477,1.8917)","LG+I{0.0006}+R4{0.0307,0.0839,0.2483,0.3775,0.4727,0.9205,0.2477,1.8917}"
PF00252,LG+I+R4,0.0058,,"(0.1434,0.1655) (0.2356,0.5463) (0.3648,1.0248) (0.2504,1.8920)","LG+I{0.0058}+R4{0.1434,0.1655,0.2356,0.5463,0.3648,1.0248,0.2504,1.8920}"
PF00254,LG+I+G4,0.0000,2.0451,,LG+I{0.0000}+G4{2.0451}
PF00266,LG+I+G4,0.0123,1.5996,,LG+I{0.0123}+G4{1.5996}
PF00270,LG+I+R4,0.0061,,"(0.0535,0.0482) (0.1219,0.3052) (0.3089,0.6667) (0.5096,1.4801)","LG+I{0.0061}+R4{0.0535,0.0482,0.1219,0.3052,0.3089,0.6667,0.5096,1.4801}"
PF00271,LG+I+G4,0.0000,1.4044,,LG+I{0.0000}+G4{1.4044}
PF00278,LG+I+R4,0.0035,,"(0.1237,0.1157) (0.3059,0.4251) (0.1948,0.9431) (0.3722,1.8055)","LG+I{0.0035}+R4{0.1237,0.1157,0.3059,0.4251,0.1948,0.9431,0.3722,1.8055}"
PF00281,LG+I+G4,0.0000,1.3412,,LG+I{0.0000}+G4{1.3412}
PF00282,LG+I+G4,0.0111,2.2232,,LG+I{0.0111}+G4{2.2232}
PF00285,LG+I+R4,0.0000,,"(0.1263,0.1312) (0.2373,0.4287) (0.2883,0.8641) (0.3481,1.8171)","LG+I{0.0000}+R4{0.1263,0.1312,0.2373,0.4287,0.2883,0.8641,0.3481,1.8171}"
PF00288,LG+I+R4,0.0000,,"(0.0780,0.0913) (0.2698,0.3933) (0.2931,0.8718) (0.3592,1.7577)","LG+I{0.0000}+R4{0.0780,0.0913,0.2698,0.3933,0.2931,0.8718,0.3592,1.7577}"
PF00289,LG+I+G4,0.0106,1.1389,,LG+I{0.0106}+G4{1.1389}
PF00290,LG+I+G4,0.0204,1.5900,,LG+I{0.0204}+G4{1.5900}
PF00293,LG+F+I+R4,0.0000,,"(0.0269,0.0573) (0.1127,0.3063) (0.3787,0.7600) (0.4818,1.4034)","LG+F+I{0.0000}+R4{0.0269,0.0573,0.1127,0.3063,0.3787,0.7600,0.4818,1.4034}"
PF00294,LG+I+R4,0.0053,,"(0.0513,0.1442) (0.2099,0.4174) (0.3967,0.9064) (0.3368,1.6192)","LG+I{0.0053}+R4{0.0513,0.1442,0.2099,0.4174,0.3967,0.9064,0.3368,1.6192}"
PF00296,LG+F+I+R3,0.0000,,"(0.0850,0.2203) (0.2646,0.5804) (0.6503,1.2727)","LG+F+I{0.0000}+R3{0.0850,0.2203,0.2646,0.5804,0.6503,1.2727}"
PF00298,LG+I+R4,0.0079,,"(0.1228,0.2305) (0.2019,0.5279) (0.2496,0.9032) (0.4178,1.5313)","LG+I{0.0079}+R4{0.1228,0.2305,0.2019,0.5279,0.2496,0.9032,0.4178,1.5313}"
PF00300,LG+F+I+R4,0.0000,,"(0.0888,0.0708) (0.1608,0.3452) (0.3038,0.7876) (0.4466,1.5651)","LG+F+I{0.0000}+R4{0.0888,0.0708,0.1608,0.3452,0.3038,0.7876,0.4466,1.5651}"
PF00303,LG+I+R4,0.0145,,"(0.1561,0.0818) (0.2640,0.3954) (0.2335,0.9660) (0.3320,1.9801)","LG+I{0.0145}+R4{0.1561,0.0818,0.2640,0.3954,0.2335,0.9660,0.3320,1.9801}"
PF00310,LG+I+G4,0.0978,0.9927,,LG+I{0.0978}+G4{0.9927}
PF00312,LG+I+R4,0.0000,,"(0.2035,0.1546) (0.3332,0.5427) (0.3150,1.3617) (0.1482,2.4202)","LG+I{0.0000}+R4{0.2035,0.1546,0.3332,0.5427,0.3150,1.3617,0.1482,2.4202}"
PF00313,LG+I+G4,0.0398,1.0858,,LG+I{0.0398}+G4{1.0858}
PF00316,LG+I+G4,0.1051,2.2745,,LG+I{0.1051}+G4{2.2745}
PF00317,LG+I+R4,0.0000,,"(0.1316,0.1715) (0.2283,0.4023) (0.3054,0.8857) (0.3347,1.8379)","LG+I{0.0000}+R4{0.1316,0.1715,0.2283,0.4023,0.3054,0.8857,0.3347,1.8379}"
PF00324,LG+F+I+G4,0.0000,3.1480,,LG+F+I{0.0000}+G4{3.1480}
PF00326,LG+F+I+R4,0.0111,,"(0.0977,0.2318) (0.4634,0.6663) (0.3208,1.1526) (0.1070,2.7938)","LG+F+I{0.0111}+R4{0.0977,0.2318,0.4634,0.6663,0.3208,1.1526,0.1070,2.7938}"
PF00327,LG+I+R4,0.0000,,"(0.1941,0.3205) (0.3314,0.6890) (0.3606,1.2749) (0.1139,2.1923)","LG+I{0.0000}+R4{0.1941,0.3205,0.3314,0.6890,0.3606,1.2749,0.1139,2.1923}"
PF00329,LG+I+R4,0.0000,,"(0.0533,0.0914) (0.1628,0.3453) (0.4183,0.7388) (0.3656,1.7227)","LG+I{0.0000}+R4{0.0533,0.0914,0.1628,0.3453,0.4183,0.7388,0.3656,1.7227}"
PF00333,LG+I+G4,0.0000,1.0980,,LG+I{0.0000}+G4{1.0980}
PF00334,LG+I+R4,0.0061,,"(0.0647,0.0463) (0.2655,0.3445) (0.4100,0.8564) (0.2537,2.1852)","LG+I{0.0061}+R4{0.0647,0.0463,0.2655,0.3445,0.4100,0.8564,0.2537,2.1852}"
PF00338,LG+I+R4,0.0000,,"(0.1892,0.4315) (0.4073,0.7591) (0.3122,1.2709) (0.0913,2.3266)","LG+I{0.0000}+R4{0.1892,0.4315,0.4073,0.7591,0.3122,1.2709,0.0913,2.3266}"
PF00342,LG+I+G4,0.0785,1.0918,,LG+I{0.0785}+G4{1.0918}
PF00347,LG+I+G4,0.0000,1.8482,,LG+I{0.0000}+G4{1.8482}
PF00348,LG+I+R4,0.0174,,"(0.0959,0.1153) (0.2689,0.4469) (0.2759,0.9835) (0.3419,1.7476)","LG+I{0.0174}+R4{0.0959,0.1153,0.2689,0.4469,0.2759,0.9835,0.3419,1.7476}"
PF00352,LG+I+R4,0.0085,,"(0.1501,0.2396) (0.4000,0.6159) (0.2559,1.2978) (0.1855,2.0780)","LG+I{0.0085}+R4{0.1501,0.2396,0.4000,0.6159,0.2559,1.2978,0.1855,2.0780}"
PF00355,LG+I+G4,0.0293,4.0384,,LG+I{0.0293}+G4{4.0384}
PF00359,LG+F+I+R4,0.0056,,"(0.1004,0.2363) (0.2313,0.5085) (0.3616,1.0220) (0.3011,1.6245)","LG+F+I{0.0056}+R4{0.1004,0.2363,0.2313,0.5085,0.3616,1.0220,0.3011,1.6245}"
PF00361,LG+F+I+G4,0.0039,1.7309,,LG+F+I{0.0039}+G4{1.7309}
PF00364,LG+I+G4,0.0239,2.1384,,LG+I{0.0239}+G4{2.1384}
PF00366,LG+I+R4,0.0000,,"(0.2356,0.1644) (0.3041,0.5528) (0.2134,1.2264) (0.2469,2.1528)","LG+I{0.0000}+R4{0.2356,0.1644,0.3041,0.5528,0.2134,1.2264,0.2469,2.1528}"
PF00370,LG+I+G4,0.0008,2.3729,,LG+I{0.0008}+G4{2.3729}
PF00378,LG+I+G4,0.0128,2.0171,,LG+I{0.0128}+G4{2.0171}
PF00381,LG+I+R4,0.0000,,"(0.1233,0.1648) (0.3132,0.4869) (0.1899,0.9475) (0.3737,1.7321)","LG+I{0.0000}+R4{0.1233,0.1648,0.3132,0.4869,0.1899,0.9475,0.3737,1.7321}"
PF00382,LG+I+R2,0.0101,,"(0.2978,0.3989) (0.6921,1.2733)","LG+I{0.0101}+R2{0.2978,0.3989,0.6921,1.2733}"
PF00383,LG+I+R4,0.0117,,"(0.0509,0.0730) (0.2496,0.4026) (0.4958,0.9131) (0.1920,2.3081)","LG+I{0.0117}+R4{0.0509,0.0730,0.2496,0.4026,0.4958,0.9131,0.1920,2.3081}"
PF00384,LG+I+G4,0.0077,3.2774,,LG+I{0.0077}+G4{3.2774}
PF00389,LG+I+R4,0.0027,,"(0.1292,0.2707) (0.3974,0.6639) (0.3173,1.2061) (0.1533,2.0773)","LG+I{0.0027}+R4{0.1292,0.2707,0.3974,0.6639,0.3173,1.2061,0.1533,2.0773}"
PF00390,LG+I+G4,0.0412,1.3111,,LG+I{0.0412}+G4{1.3111}
PF00391,LG+I+G4,0.0000,1.0608,,LG+I{0.0000}+G4{1.0608}
PF00393,LG+I+R4,0.0120,,"(0.2446,0.1061) (0.2721,0.5148) (0.2581,1.1600) (0.2133,2.5069)","LG+I{0.0120}+R4{0.2446,0.1061,0.2721,0.5148,0.2581,1.1600,0.2133,2.5069}"
PF00398,LG+I+G4,0.0002,2.3075,,LG+I{0.0002}+G4{2.3075}
PF00403,LG+I+G4,0.0000,2.6232,,LG+I{0.0000}+G4{2.6232}
PF00406,LG+I+G4,0.0784,1.8829,,LG+I{0.0784}+G4{1.8829}
PF00408,LG+I+G4,0.0102,1.3449,,LG+I{0.0102}+G4{1.3449}
PF00410,LG+I+G4,0.0206,1.0090,,LG+I{0.0206}+G4{1.0090}
PF00425,LG+I+R4,0.0157,,"(0.1332,0.1092) (0.2327,0.4459) (0.2518,0.9257) (0.3666,1.7691)","LG+I{0.0157}+R4{0.1332,0.1092,0.2327,0.4459,0.2518,0.9257,0.3666,1.7691}"
PF00437,LG+I+G4,0.0321,1.1461,,LG+I{0.0321}+G4{1.1461}
PF00440,LG+I+R4,0.0000,,"(0.2433,0.2850) (0.2569,0.6138) (0.3337,1.2204) (0.1661,2.2020)","LG+I{0.0000}+R4{0.2433,0.2850,0.2569,0.6138,0.3337,1.2204,0.1661,2.2020}"
PF00441,LG+F+I+R4,0.0105,,"(0.0328,0.1031) (0.3367,0.5207) (0.4309,1.0167) (0.1890,2.0270)","LG+F+I{0.0105}+R4{0.0328,0.1031,0.3367,0.5207,0.4309,1.0167,0.1890,2.0270}"
PF00448,LG+I+R4,0.0133,,"(0.1157,0.0758) (0.3171,0.4973) (0.4244,1.2427) (0.1296,2.3626)","LG+I{0.0133}+R4{0.1157,0.0758,0.3171,0.4973,0.4244,1.2427,0.1296,2.3626}"
PF00449,LG+I+G4,0.1136,1.3014,,LG+I{0.1136}+G4{1.3014}
PF00455,LG+I+G4,0.0000,1.4534,,LG+I{0.0000}+G4{1.4534}
PF00462,LG+I+R4,0.0123,,"(0.1579,0.2613) (0.2247,0.5197) (0.3023,0.9951) (0.3028,1.7872)","LG+I{0.0123}+R4{0.1579,0.2613,0.2247,0.5197,0.3023,0.9951,0.3028,1.7872}"
PF00464,LG+I+G4,0.0794,1.2058,,LG+I{0.0794}+G4{1.2058}
PF00478,LG+I+R4,0.0237,,"(0.1676,0.0682) (0.2847,0.3868) (0.2534,1.0652) (0.2706,2.2486)","LG+I{0.0237}+R4{0.1676,0.0682,0.2847,0.3868,0.2534,1.0652,0.2706,2.2486}"
PF00482,LG+F+I+R4,0.0000,,"(0.1480,0.4150) (0.3088,0.6470) (0.3169,1.0722) (0.2263,1.7631)","LG+F+I{0.0000}+R4{0.1480,0.4150,0.3088,0.6470,0.3169,1.0722,0.2263,1.7631}"
PF00484,LG+I+R4,0.0259,,"(0.1568,0.1657) (0.2868,0.4749) (0.2749,1.0593) (0.2557,2.1381)","LG+I{0.0259}+R4{0.1568,0.1657,0.2868,0.4749,0.2749,1.0593,0.2557,2.1381}"
PF00485,LG+I+G4,0.0292,3.2801,,LG+I{0.0292}+G4{3.2801}
PF00488,LG+I+G4,0.0788,0.9158,,LG+I{0.0788}+G4{0.9158}
PF00490,LG+I+R4,0.0306,,"(0.1764,0.0743) (0.1777,0.3374) (0.3134,0.8588) (0.3019,2.1789)","LG+I{0.0306}+R4{0.1764,0.0743,0.1777,0.3374,0.3134,0.8588,0.3019,2.1789}"
PF00491,LG+I+R4,0.0069,,"(0.0897,0.0998) (0.2737,0.4473) (0.3252,0.9475) (0.3045,1.8407)","LG+I{0.0069}+R4{0.0897,0.0998,0.2737,0.4473,0.3252,0.9475,0.3045,1.8407}"
PF00493,LG+I+G4,0.0063,0.8071,,LG+I{0.0063}+G4{0.8071}
PF00494,LG+F+I+R4,0.0000,,"(0.1005,0.1849) (0.1979,0.4479) (0.2649,0.8661) (0.4367,1.5190)","LG+F+I{0.0000}+R4{0.1005,0.1849,0.1979,0.4479,0.2649,0.8661,0.4367,1.5190}"
PF00496,LG+F+I+R4,0.0000,,"(0.0639,0.1751) (0.1569,0.4655) (0.4183,0.9094) (0.3608,1.4837)","LG+F+I{0.0000}+R4{0.0639,0.1751,0.1569,0.4655,0.4183,0.9094,0.3608,1.4837}"
PF00497,LG+F+I+R4,0.0022,,"(0.0594,0.2564) (0.2360,0.5098) (0.3393,0.8883) (0.3631,1.5507)","LG+F+I{0.0022}+R4{0.0594,0.2564,0.2360,0.5098,0.3393,0.8883,0.3631,1.5507}"
PF00510,LG+F+I+G4,0.1309,1.3957,,LG+F+I{0.1309}+G4{1.3957}
PF00512,LG+F+I+G4,0.0000,1.2587,,LG+F+I{0.0000}+G4{1.2587}
PF00521,LG+I+R4,0.0267,,"(0.1271,0.1503) (0.2188,0.4414) (0.3198,0.9012) (0.3075,1.9383)","LG+I{0.0267}+R4{0.1271,0.1503,0.2188,0.4414,0.3198,0.9012,0.3075,1.9383}"
PF00533,LG+I+G4,0.0000,3.3166,,LG+I{0.0000}+G4{3.3166}
PF00535,LG+I+R4,0.0000,,"(0.0423,0.1058) (0.2221,0.3593) (0.3803,0.8705) (0.3552,1.6459)","LG+I{0.0000}+R4{0.0423,0.1058,0.2221,0.3593,0.3803,0.8705,0.3552,1.6459}"
PF00543,LG+I+R4,0.0154,,"(0.0750,0.1555) (0.3586,0.5071) (0.3320,1.0994) (0.2191,2.0158)","LG+I{0.0154}+R4{0.0750,0.1555,0.3586,0.5071,0.3320,1.0994,0.2191,2.0158}"
PF00547,LG+I+G4,0.0379,1.2113,,LG+I{0.0379}+G4{1.2113}
PF00549,LG+I+G4,0.0136,1.9319,,LG+I{0.0136}+G4{1.9319}
PF00551,LG+I+G4,0.0144,2.4268,,LG+I{0.0144}+G4{2.4268}
PF00557,LG+I+R4,0.0000,,"(0.0725,0.1813) (0.1945,0.4521) (0.2893,0.8443) (0.4437,1.4754)","LG+I{0.0000}+R4{0.0725,0.1813,0.1945,0.4521,0.2893,0.8443,0.4437,1.4754}"
PF00561,LG+I+R4,0.0000,,"(0.0269,0.0847) (0.1063,0.3260) (0.3584,0.6423) (0.5085,1.4414)","LG+I{0.0000}+R4{0.0269,0.0847,0.1063,0.3260,0.3584,0.6423,0.5085,1.4414}"
PF00562,LG+I+R4,0.0145,,"(0.1712,0.0889) (0.2749,0.3325) (0.3022,0.7913) (0.2372,2.7581)","LG+I{0.0145}+R4{0.1712,0.0889,0.2749,0.3325,0.3022,0.7913,0.2372,2.7581}"
PF00565,LG+I+G4,0.0221,1.7040,,LG+I{0.0221}+G4{1.7040}
PF00571,LG+I+R4,0.0000,,"(0.1129,0.3539) (0.1216,0.6125) (0.3585,0.9104) (0.4071,1.3738)","LG+I{0.0000}+R4{0.1129,0.3539,0.1216,0.6125,0.3585,0.9104,0.4071,1.3738}"
PF00575,LG+I+G4,0.0000,3.0469,,LG+I{0.0000}+G4{3.0469}
PF00576,LG+I+R4,0.0098,,"(0.1195,0.0571) (0.1629,0.2386) (0.3171,0.8569) (0.3906,1.7474)","LG+I{0.0098}+R4{0.1195,0.0571,0.1629,0.2386,0.3171,0.8569,0.3906,1.7474}"
PF00578,LG+I+R4,0.0000,,"(0.0297,0.1141) (0.2104,0.3936) (0.2914,0.7156) (0.4685,1.5053)","LG+I{0.0000}+R4{0.0297,0.1141,0.2104,0.3936,0.2914,0.7156,0.4685,1.5053}"
PF00580,LG+F+I+R4,0.0078,,"(0.0592,0.0370) (0.1430,0.1990) (0.3033,0.6359) (0.4867,1.5954)","LG+F+I{0.0078}+R4{0.0592,0.0370,0.1430,0.1990,0.3033,0.6359,0.4867,1.5954}"
PF00581,LG+I+R4,0.0000,,"(0.0375,0.1030) (0.1887,0.3598) (0.3493,0.8189) (0.4244,1.5132)","LG+I{0.0000}+R4{0.0375,0.1030,0.1887,0.3598,0.3493,0.8189,0.4244,1.5132}"
PF00582,LG+I+G4,0.0000,1.4513,,LG+I{0.0000}+G4{1.4513}
